id,city,postal_code,property_type,surface_area,bedrooms,bathrooms,build_year,energy_label,epc_score,garden_area,garage,pool,sale_price,sale_date,created_at
1,Bruges,8000,apartment,67.2,2,1,2007,A,266,0,False,False,230595,2018-01-09,2018-01-09
2,Leuven,3010,apartment,104.8,3,2,1998,E,418,0,False,False,328119,2019-06-10,2019-06-10
3,Bruges,8000,apartment,83.4,2,2,1963,C,492,0,True,False,311093,2023-06-25,2023-06-25
4,Leuven,3000,apartment,40.0,1,2,1967,E,272,0,True,False,156493,2022-07-11,2022-07-11
5,Antwerp,2060,apartment,58.1,2,2,2001,C,101,0,True,False,219744,2020-10-21,2020-10-21
6,Ghent,9000,apartment,80.0,2,2,1962,B,418,0,True,False,338059,2020-05-10,2020-05-10
7,Antwerp,2018,house,123.3,4,1,2022,E,347,149,True,False,495677,2022-12-05,2022-12-05
8,Bruges,8000,apartment,46.0,1,3,1993,A,339,0,False,False,148813,2020-03-21,2020-03-21
9,Antwerp,2000,house,68.9,2,3,2004,B,153,110,True,False,337045,2023-06-13,2023-06-13
10,Bruges,8200,house,61.3,2,2,1966,B,405,49,True,False,224779,2022-02-23,2022-02-23
11,Leuven,3000,apartment,88.1,3,1,1954,B,194,0,False,False,388199,2023-01-24,2023-01-24
12,Ghent,9030,house,127.6,4,1,1965,A,310,146,True,True,619320,2023-12-24,2023-12-24
13,Antwerp,2000,apartment,124.5,4,3,1953,D,366,0,False,False,472841,2019-08-03,2019-08-03
14,Leuven,3000,apartment,119.3,3,1,1954,B,445,0,True,False,538824,2021-07-07,2021-07-07
15,Antwerp,2000,apartment,79.6,2,2,1976,A,161,0,True,False,317198,2016-12-08,2016-12-08
16,Bruges,8000,apartment,97.3,3,3,2009,A,253,0,False,False,307032,2015-06-03,2015-06-03
17,Leuven,3000,apartment,135.6,4,2,2012,E,461,0,False,False,514314,2017-01-26,2017-01-26
18,Bruges,8000,apartment,101.4,3,2,1972,C,365,0,False,False,351808,2018-01-16,2018-01-16
19,Ghent,9030,apartment,86.8,2,3,2021,A,337,0,True,False,339640,2024-11-26,2024-11-26
20,Antwerp,2060,apartment,102.4,3,3,1952,C,454,0,False,False,349812,2017-04-04,2017-04-04
21,Antwerp,2018,apartment,86.4,2,1,1963,B,423,0,False,False,275938,2018-09-19,2018-09-19
22,Leuven,3010,house,101.4,3,2,1976,B,242,114,True,False,400605,2017-07-13,2017-07-13
23,Antwerp,2000,apartment,92.9,3,1,2022,B,463,0,True,False,353095,2016-06-13,2016-06-13
